resp_id,city,area,interviewer,int_date,gender,age,educ,employ,marital,hh_size,hh_income,migrant,yrs_nbhd,trust1,trust2,trust3,trust4,trust5,civic_meet,civic_vol,civic_petition,civic_contact,civic_protest,belong,life_sat,health,internet,sm_hours,discrim,vote,wt,q_challenge,q_connect
1001,1,2,INT01,2025-01-06,1,43,5,1,2,8,24000,0,15,3,4,4,5,4,0,0,0,0,0,3,9,4,1,1.5,0,0,1.383,Poor lighting on the approach road makes it scary after sunset.,If the municipality actually responded to complaints I would feel this place is mine. Participatory budgeting like some cities have tried would be good.
1002,1,1,INT02,2025-01-06,1,19,6,5,1,4,88500,1,2,3,3,5,2,3,1,0,0,0,0,2,8,5,1,2.0,0,0,0.818,"monsoon flooding, corruption",Log thoda friendly ho jaayein toh apnapan lagega
1003,1,2,INT01,2025-01-07,1,35,3,4,2,6,9000,0,6,2,4,3,3,4,0,1,0,0,0,2,5,3,0,0.0,0,0,1.376,"housing, no jobs for youth",A ward committee that meets every month and shares what the municipality is doing. Right now decisions are taken and we are just told to pay.
1004,1,2,INT02,2025-01-07,1,39,3,1,2,3,10000,0,23,3,4,2,3,4,0,1,0,0,0,2,4,3,0,0.0,1,0,1.225,water supply,"See, if people greeted each other and stopped judging tenants. In my village everyone knows everyone, here I feel like a stranger. Apart from that, something for teenagers to do in the evening other than sitting on the phone."
1005,1,1,INT03,2025-01-07,2,44,3,6,2,4,31000,0,22,3,4,4,1,1,0,0,1,0,0,4,8,3,0,0.0,0,0,0.85,"safety at night is the biggest issue, especially for working women coming back late",
1006,1,1,INT02,2025-01-08,1,54,3,4,2,4,14500,0,40,5,3,2,1,4,0,1,0,0,1,3,6,2,0,0.0,0,0,0.933,,if we celebrated festivals together as one area instead of separately
1007,1,1,INT03,2025-01-08,1,30,4,4,1,4,29500,1,8,2,3,5,4,2,0,0,0,0,0,2,7,5,1,1.0,1,0,0.646,Don't know,Bachcho ke liye koi club ya ground ho. Pashe ke thake seta jantei parina.
1008,1,1,INT01,2025-01-09,2,35,3,2,2,1,8000,0,24,4,3,2,8,4,1,0,0,0,1,3,8,4,1,4.0,0,1,0.88,"বর্ষায় রাস্তায় জল জমে যায়, অফিস যেতে খুব অসুবিধা হয়।",more community events
1009,1,1,INT02,2025-01-09,2,26,4,2,2,4,9500,1,9,3,4,4,2,2,0,0,0,0,0,2,9,4,0,0.0,0,0,0.714,Local log outsider bolke alag treat karte hai,
1010,1,1,INT03,2025-01-09,1,33,5,1,2,3,11000,0,12,3,3,4,2,4,0,0,0,0,0,3,5,4,1,4.0,0,0,1.067,একটু বৃষ্টি হলেই গলিতে হাঁটু জল।,"frankly speaking, the association should be run democratically, not by the same two families. apart from that, our building whatsapp group helped during the floods, one for the whole area would be useful"
1011,1,1,INT03,2025-01-10,1,29,5,1,1,2,9000,1,2,3,1,5,1,3,0,0,1,0,0,2,7,2,1,2.0,0,0,1.063,Water enters the ground floor houses every rainy season. We keep our things on bricks and the top shelf all monsoon. Otherwise it is a nice place to live.,cultural programmes
1012,1,1,INT01,2025-01-11,1,49,4,6,2,9,28500,0,36,5,5,2,2,3,1,1,0,0,1,4,9,3,1,1.0,0,1,1.212,"The municipality water comes at odd times like five in the morning, so someone has to stay awake to fill the drums.",
1013,1,1,INT02,2025-01-11,2,44,1,6,2,7,8000,0,21,4,3,3,3,2,0,1,1,1,0,2,6,4,0,0.0,0,1,0.924,Basically autos and buses stop anywhere and the whole junction gets blocked.,Councillor saab kabhi aate hi nahi. Sports day or a small fair for the children would bring people out of their homes.
1014,1,1,INT02,2025-01-11,1,32,6,1,1,5,43000,1,14,4,4,5,3,3,0,0,0,0,0,3,7,5,1,3.5,0,0,0.876,"Sanitation is very poor, the sweepers hardly come to our side. Second thing, dirty drain water mixes with the drinking water pipe.",A youth club with sports and computer classes to keep the boys busy. Our club used to run a library but it closed after the old members died. That would make a big difference.
1015,1,1,INT01,2025-01-13,2,50,4,6,2,5,78500,0,40,5,5,1,5,5,0,0,0,0,0,4,6,4,1,4.0,1,1,0.683,"Frankly speaking, the marriage hall next door plays music till two in the morning.","To be honest, if the KMC actually responded to complaints I would feel this place is mine."
